Datetime,January,February,March,April,May,June,July,August,September,October,November,December,day,Sunday,Monday,Thuesday,Wednesday,Thursday,Friday,Saturday,Volume,Open,High,Low,Close
2010-04-30 12:30:00,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,352,94.122,94.134,94.056,94.098
2010-04-30 12:40:00,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,159,94.096,94.166,94.096,94.144
2010-04-30 12:50:00,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,429,94.146,94.148,94.024,94.026
2010-04-30 13:00:00,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,289,94.028,94.042,93.976,94.028
2010-04-30 13:10:00,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,264,94.026,94.054,93.988,94.052
2010-04-30 13:20:00,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,198,94.054,94.070,93.994,94.036
2010-04-30 13:30:00,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,149,94.034,94.084,94.016,94.066
2010-04-30 13:40:00,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,147,94.068,94.098,94.068,94.082
2010-04-30 13:50:00,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,80,94.080,94.080,94.042,94.042
2010-04-30 14:00:00,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,209,94.044,94.068,94.004,94.026
2010-04-30 14:10:00,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,120,94.024,94.064,94.008,94.060
2010-04-30 14:20:00,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,84,94.058,94.058,93.998,94.004
2010-04-30 14:30:00,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,149,94.002,94.038,93.944,93.944
2010-04-30 14:40:00,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,143,93.942,93.950,93.886,93.890
2010-04-30 14:50:00,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,140,93.888,93.950,93.880,93.916
2010-04-30 15:00:00,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,138,93.912,93.956,93.906,93.944
2010-04-30 15:10:00,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,131,93.942,93.996,93.928,93.992
2010-04-30 15:20:00,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,172,93.990,93.994,93.890,93.900
2010-04-30 15:30:00,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,98,93.902,93.946,93.898,93.912
2010-04-30 15:40:00,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,154,93.910,93.962,93.900,93.937
2010-04-30 15:50:00,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,95,93.940,93.962,93.927,93.933
2010-04-30 16:00:00,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,193,93.935,93.968,93.921,93.965
2010-04-30 16:10:00,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,104,93.968,94.005,93.966,93.993
2010-04-30 16:20:00,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,104,93.990,94.043,93.975,94.039
2010-04-30 16:30:00,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,85,94.043,94.045,94.007,94.045
2010-04-30 16:40:00,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,378,94.048,94.048,93.856,93.869
2010-04-30 16:50:00,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,235,93.867,93.917,93.837,93.853
2010-04-30 17:00:00,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2,93.850,93.850,93.835,93.835
2010-05-31 10:50:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,963,91.472,91.482,90.920,91.004
2010-05-31 11:00:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,1212,91.006,91.232,90.970,91.174
2010-05-31 11:10:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,257,91.170,91.222,91.164,91.190
2010-05-31 11:20:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,405,91.188,91.200,91.090,91.140
2010-05-31 11:30:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,219,91.138,91.186,91.100,91.148
2010-05-31 11:40:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,202,91.150,91.192,91.112,91.176
2010-05-31 11:50:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,169,91.180,91.286,91.180,91.284
2010-05-31 12:00:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,171,91.282,91.290,91.224,91.240
2010-05-31 12:10:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,107,91.242,91.280,91.234,91.240
2010-05-31 12:20:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,101,91.242,91.274,91.216,91.250
2010-05-31 12:30:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,102,91.246,91.292,91.234,91.270
2010-05-31 12:40:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,47,91.272,91.278,91.234,91.234
2010-05-31 12:50:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,150,91.236,91.242,91.114,91.118
2010-05-31 13:00:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,505,91.114,91.252,91.100,91.106
2010-05-31 13:10:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,530,91.104,91.246,91.104,91.154
