Datetime,hour_range,day,Volume,Open,High,Low,Close
2020-06-29 08:00,8,29,2299,107.194,107.222,107.162,107.202
2020-06-29 09:00,9,29,2385,107.200,107.257,107.182,107.210
2020-06-29 10:00,10,29,2491,107.210,107.215,107.167,107.205
2020-06-29 11:00,11,29,2397,107.204,107.286,107.182,107.262
2020-06-29 12:00,12,29,2886,107.262,107.376,107.248,107.334
2020-06-29 13:00,13,29,5558,107.335,107.596,107.324,107.532
2020-06-29 14:00,14,29,8900,107.534,107.885,107.531,107.716
2020-06-29 15:00,15,29,4298,107.714,107.763,107.633,107.712
2020-06-29 16:00,16,29,2537,107.711,107.776,107.694,107.774
2020-06-29 17:00,17,29,2451,107.773,107.825,107.716,107.766
2020-06-29 18:00,18,29,1657,107.768,107.776,107.671,107.690
2020-06-29 19:00,19,29,1567,107.688,107.724,107.589,107.622
2020-06-29 20:00,20,29,832,107.623,107.626,107.551,107.572
2020-06-29 21:00,21,29,196,107.567,107.603,107.549,107.574
2020-06-29 22:00,22,29,821,107.572,107.620,107.544,107.560
2020-06-29 23:00,23,29,1049,107.558,107.623,107.558,107.584
2020-06-30 00:00,0,30,2939,107.585,107.734,107.544,107.700
2020-06-30 01:00,1,30,2173,107.702,107.776,107.672,107.696
2020-06-30 02:00,2,30,1585,107.694,107.790,107.686,107.782
2020-06-30 03:00,3,30,1306,107.784,107.787,107.720,107.728
2020-06-30 04:00,4,30,1429,107.728,107.762,107.700,107.718
2020-06-30 05:00,5,30,2433,107.719,107.776,107.704,107.728
2020-06-30 06:00,6,30,3137,107.730,107.782,107.640,107.646
2020-06-30 07:00,7,30,2498,107.648,107.726,107.642,107.724
2020-06-30 08:00,8,30,2342,107.724,107.736,107.656,107.688
2020-06-30 09:00,9,30,2591,107.686,107.798,107.686,107.788
2020-06-30 10:00,10,30,2687,107.788,107.791,107.702,107.732
2020-06-30 11:00,11,30,2481,107.731,107.776,107.713,107.758
2020-06-30 12:00,12,30,2366,107.760,107.763,107.708,107.727
2020-06-30 13:00,13,30,5236,107.726,107.763,107.522,107.682
2020-06-30 14:00,14,30,11346,107.680,107.897,107.612,107.870
2020-06-30 15:00,15,30,7765,107.868,107.944,107.742,107.780
2020-06-30 16:00,16,30,3659,107.779,107.844,107.768,107.826
2020-06-30 17:00,17,30,3630,107.824,107.892,107.802,107.891
2020-06-30 18:00,18,30,3044,107.889,107.976,107.864,107.975
2020-06-30 19:00,19,30,2364,107.976,107.981,107.918,107.976
2020-06-30 20:00,20,30,924,107.977,107.986,107.920,107.933
2020-06-30 21:00,21,30,133,107.928,107.989,107.912,107.963
2020-06-30 22:00,22,30,579,107.960,107.991,107.928,107.952
2020-06-30 23:00,23,30,520,107.950,107.998,107.946,107.994
2020-07-01 00:00,0,1,2765,107.996,108.165,107.975,108.091
2020-07-01 01:00,1,1,3748,108.090,108.090,107.794,107.831
2020-07-01 02:00,2,1,2841,107.830,107.831,107.670,107.693
2020-07-01 03:00,3,1,1803,107.692,107.748,107.675,107.683
2020-07-01 04:00,4,1,2354,107.684,107.700,107.589,107.659
2020-07-01 05:00,5,1,1856,107.657,107.668,107.576,107.600
2020-07-01 06:00,6,1,2113,107.598,107.700,107.598,107.690
2020-07-01 07:00,7,1,2705,107.692,107.710,107.562,107.574
2020-07-01 08:00,8,1,3245,107.576,107.586,107.469,107.532
2020-07-01 09:00,9,1,2494,107.530,107.560,107.501,107.531
2020-07-01 10:00,10,1,3125,107.530,107.558,107.468,107.496
2020-07-01 11:00,11,1,3280,107.496,107.534,107.454,107.462
2020-07-01 12:00,12,1,4073,107.462,107.487,107.363,107.444
2020-07-01 13:00,13,1,4509,107.444,107.592,107.428,107.556
2020-07-01 14:00,14,1,6345,107.560,107.602,107.368,107.524
